labels,ref-female-afr-american,ref-female-asian,ref-female-european,ref-male-afr-american,ref-male-asian,ref-male-european,sex,origin,provenance,split
np01,1.44,1.64,3.11,1.26,1.73,2,female,europe,no provenance,2
np02,2.82,2.99,3.64,2.84,2.59,2.68,unknown,asia,no provenance,2
np03,2.78,2.96,3.17,2.57,3.34,2.85,unknown,europe,no provenance,2
np04,2.69,2.65,3.93,2.1,2.53,2.47,male,europe,no provenance,2
np05,4.33,4.46,4.39,4.19,4.93,4.38,unknown,asia,no provenance,2
np06,1.49,1.94,2.31,1.88,2.15,1.92,unknown,asia,no provenance,2
np07,3.03,3.02,3.45,2.91,3.7,3.14,unknown,asia,no provenance,2
np08,1.84,2.16,2.38,2.59,2.07,2.03,unknown,europe,no provenance,2
np09,2.31,2.45,3.33,2.22,2.17,2.23,female,asia,no provenance,2
np10,2.64,2.39,4.04,1.85,2.77,2.53,unknown,europe,no provenance,2
np11,2.42,2.66,3.55,2.26,2.52,2.6,male,asia,no provenance,2
np12,3.82,4.03,4.31,4.35,3.41,3.84,unknown,africa,no provenance,2
np13,2.12,2.29,2.24,2.68,2.11,1.74,female,africa,no provenance,2
np14,5.14,5.31,5.5,4.9,5.56,5.19,female,africa,no provenance,2
np15,2.16,2.53,2.66,2.35,2.52,2.48,male,africa,no provenance,2
np16,4.32,4.47,4.94,4.48,4,4.33,male,africa,no provenance,2
np17,2.63,2.45,3.71,1.98,2.85,2.48,unknown,africa,no provenance,2
np18,1.15,1.55,2.21,1.7,1.49,1.44,unknown,africa,no provenance,2
np19,3.42,3.6,3.93,3.43,3.31,3.25,unknown,africa,no provenance,2
np20,2.51,2.58,3.2,2.31,2.95,2.49,female,asia,no provenance,2
np21,3.17,3.25,3.32,3.04,3.84,3.26,male,asia,no provenance,2
np22,4.17,4.19,4.91,3.61,4.66,4.28,male,asia,no provenance,2
np23,3.45,3.58,4.33,3.03,3.65,3.48,male,asia,no provenance,2
np24,3.56,3.51,4.2,3.13,4.12,3.63,unknown,asia,no provenance,2
np25,4.72,4.7,5.07,4.44,5.37,4.71,unknown,asia,no provenance,2
np26,1.53,1.49,3.23,1.11,1.69,1.63,unknown,europe,no provenance,2
np27,3.06,3.04,4.37,2.37,3.18,3.17,unknown,europe,no provenance,2
np28,2.97,3.47,2.48,3.67,3.14,3.11,unknown,asia,no provenance,2
s01,3.29,3.4,4.19,3.42,2.87,3.21,unknown,asia,secure provenance,0
s02,3.21,3.18,4.67,2.79,2.91,3.11,male,europe,secure provenance,1
s03,4.31,4.16,5.38,3.94,3.79,3.82,female,europe,secure provenance,1
s04,2.85,2.78,3.91,2.31,3.38,3.05,male,europe,secure provenance,1
s05,4.02,4.14,4.65,4.07,3.74,3.86,male,asia,secure provenance,1
s06,3.47,3.52,4.58,3.07,3.41,3.38,male,asia,secure provenance,1
s07,4.56,4.72,5.25,4.4,4.44,4.47,male,asia,secure provenance,1
s08,1.07,1.3,2.53,1.23,1.63,1.59,female,africa,secure provenance,1
s09,2.04,2.26,3.03,2.03,2.31,2.13,female,asia,secure provenance,0
s10,3.35,3.57,4.11,3.75,2.94,3.3,female,asia,secure provenance,1
s11,3.45,3.56,4.31,3.5,3.03,3.32,male,asia,secure provenance,1
s12,2.86,2.89,4.12,2.4,2.75,2.71,male,asia,secure provenance,1
s13,3.56,3.68,4.56,3.63,3.12,3.55,male,asia,secure provenance,1
s14,3.03,2.98,4.37,2.49,2.71,2.84,male,asia,secure provenance,1
s15,3.21,3.32,4.39,3.31,2.77,3.22,female,asia,secure provenance,1
s16,4.41,4.29,5.56,4.02,3.83,4.07,male,asia,secure provenance,0
s17,2.19,2.55,3.18,2.23,2.3,2.45,male,asia,secure provenance,1
s18,1.59,2,1.86,2.24,2.39,1.93,male,asia,secure provenance,1
s19,3.69,3.77,4.45,3.35,4.32,3.86,female,asia,secure provenance,0
s20,4.47,4.48,4.71,4.27,4.96,4.38,female,asia,secure provenance,1
s21,5.5,5.69,5.68,5.34,6.04,5.57,male,asia,secure provenance,1
s22,5.21,5.35,5.36,5,5.79,5.25,female,asia,secure provenance,1
s23,3.5,3.55,4.39,3.08,3.97,3.6,female,asia,secure provenance,1
s24,2.52,2.57,3.28,2.25,3.06,2.51,male,asia,secure provenance,0
s25,3.57,4.06,2.57,4.13,4.46,3.93,male,asia,secure provenance,1
s26,2.66,3.12,1.68,3.4,3.5,2.99,female,asia,secure provenance,1
s27,3.69,3.68,4.51,3.19,4.04,3.66,male,asia,secure provenance,1
s28,2.5,2.61,3.14,2.27,3.21,2.73,male,asia,secure provenance,1
s29,4.42,4.41,5.09,3.85,4.65,4.38,female,asia,secure provenance,1
s30,2.58,2.98,1.8,3.13,3.35,2.81,male,asia,secure provenance,0
s31,3.34,3.77,2.99,3.74,4.05,3.62,female,asia,secure provenance,1
s32,3.48,3.86,3.38,3.68,4.17,3.75,female,asia,secure provenance,1
s33,2.47,2.88,2.51,2.81,3.15,2.7,female,asia,secure provenance,1
s34,3.86,4.06,4.17,3.76,4.43,3.98,unknown,asia,secure provenance,1
s35,3.78,4.09,4.05,3.75,4.38,4.04,male,asia,secure provenance,1
s36,6.18,6.13,6.77,5.79,6.72,6.22,male,asia,secure provenance,1
s37,2.4,2.47,3.42,1.98,2.73,2.44,male,europe,secure provenance,0
s38,1.94,2.19,3.03,1.81,2.25,2.24,female,europe,secure provenance,1
s39,1.63,1.92,1.82,2.23,2.47,2.08,male,africa,secure provenance,1
s40,4.49,4.42,5.36,4.16,4.14,4.15,female,africa,secure provenance,1
s41,4.79,4.68,5.72,4.35,4.43,4.42,male,africa,secure provenance,0
s42,3.49,3.42,4.46,3.05,3.47,3.19,female,africa,secure provenance,1
s43,3.84,3.66,4.84,3.27,3.74,3.44,male,africa,secure provenance,1
s44,4.47,4.43,5.43,4.13,4.14,4.16,female,europe,secure provenance,1
s45,4.02,3.99,4.93,3.62,3.81,3.79,male,europe,secure provenance,1
s46,3.6,3.56,4.63,3.24,3.27,3.41,male,europe,secure provenance,0
s47,3.88,3.94,4.69,3.49,3.89,3.83,male,europe,secure provenance,1
s48,2.83,2.65,4.19,2.07,2.77,2.67,male,europe,secure provenance,1
s49,2.47,2.38,3.92,1.72,2.65,2.59,unknown,north_am,secure provenance,0
s50,1.87,1.78,3.33,1.06,2.3,2.06,female,north_am,secure provenance,1
s51,2.74,2.51,4.28,2.07,2.14,2.33,male,north_am,secure provenance,1
s52,2.87,2.86,3.79,2.35,3.07,2.91,male,north_am,secure provenance,1
s53,3.34,3.25,4.24,2.75,3.71,3.26,unknown,north_am,secure provenance,0
s54,2.33,2.37,3.45,1.91,2.88,2.53,male,north_am,secure provenance,1
s55,3.29,3.03,4.56,2.48,3.08,2.95,male,north_am,secure provenance,1
s56,2.41,2.28,3.63,1.63,2.52,2.35,male,north_am,secure provenance,1
s57,2.83,2.58,4.15,2.2,2.59,2.46,female,north_am,secure provenance,1
s58,1.75,1.82,3.07,1.58,1.8,1.91,male,north_am,secure provenance,0
s59,2.56,2.53,3.67,1.94,2.97,2.66,female,north_am,secure provenance,1
s60,1.79,2.07,3.13,1.88,1.67,2.03,unknown,north_am,secure provenance,1
s61,2.22,2.4,3.52,1.9,2.38,2.45,unknown,north_am,secure provenance,1
s62,3.13,3.19,3.93,2.99,2.89,2.92,male,africa,secure provenance,1
s63,2.91,3.23,3.42,3.09,2.99,3.02,male,africa,secure provenance,1
s64,2.94,3.46,2.31,3.63,3.35,3.22,male,africa,secure provenance,0
