labels,Claimed origin‘ancestry’,MDA model predicted originmda,Lludwig model predicted origin
np01,europe,africa,north_am
np02,asia,africa,asia
np03,europe,asia,asia
np04,europe,north_am,north_am
np05,asia,asia,asia
np06,asia,africa,asia
np07,asia,europe,asia
np08,europe,north_am,asia
np09,asia,africa,asia
np10,europe,north_am,north_am
np11,asia,africa,asia
np12,africa,asia,asia
np13,africa,north_am,asia
np14,africa,asia,asia
np15,africa,asia,asia
np16,africa,asia,asia
np17,africa,north_am,north_am
np18,africa,africa,africa
np19,africa,europe,asia
np20,asia,north_am,asia
np21,asia,asia,asia
np22,asia,asia,asia
np23,asia,asia,asia
np24,asia,asia,asia
np25,asia,asia,asia
np26,europe,africa,north_am
np27,europe,europe,north_am
np28,asia,africa,asia
