"","label","sex","origin","provenance","split","ref.s01","ref.s08","ref.s62","ref.s63","ref.s64","ref.s09","ref.s10","ref.s11","ref.s40","ref.s41","ref.s42","ref.s43","ref.s44","ref.s45","ref.s12","ref.s13","ref.s14","ref.s15","ref.s16","ref.s17","ref.s18","ref.s19","ref.s20","ref.s21","ref.s22","ref.s23","ref.s24","ref.s25","ref.s26","ref.s27","ref.s28","ref.s29","ref.s30","ref.s31","ref.s32","ref.s33","ref.s34","ref.s35","ref.s36","ref.s65","ref.s66","ref.s67","ref.s02","ref.s03","ref.s04","ref.s68","ref.s69","ref.s70","ref.s05","ref.s49","ref.s50","ref.s52","ref.s53","ref.s54","ref.s55","ref.s56","ref.s51","ref.s06","ref.s07","ref.s37","ref.s38","ref.s57","ref.s58","ref.s59","ref.s46","ref.s47","ref.s48","ref.s39","ref.s60","ref.s61"
"s01","s01","unknown","asia","secure provenance",0,0,3.47,2.08,2.32,3.41,3.09,1.31,1.2,3.01,3.66,3.81,4.24,3.3,3.21,2.83,1.55,2.75,1.59,2.69,2.87,3.52,5.49,6.34,6.51,6.57,5.16,4.55,5.55,4.72,4.74,4.38,4.55,4.24,4.2,4.5,3.91,5.1,4.32,8.39,3.29,3.4,4.19,2.51,2.63,5.35,3.42,2.87,3.21,1.73,3.95,3.8,3.85,5,4.53,3.61,3.45,2.79,2.91,3.04,4.2,2.82,2.78,2.18,4.59,2.23,3.28,3.32,4.55,2.29,3.24
"s08","s08","female","africa","secure provenance",1,3.47,0,3.2,3.13,3.18,2.28,3.73,3.66,4.49,4.8,3.48,3.78,4.48,3.96,2.88,3.8,2.95,3.46,4.46,2.3,1.94,3.49,4.46,5.5,5.19,3.37,2.33,3.75,2.88,3.56,2.35,4.25,2.84,3.46,3.6,2.62,3.86,3.76,6.01,1.07,1.3,2.53,3.27,4.39,2.61,1.23,1.63,1.59,4.12,2.35,1.51,2.73,3.18,2.14,3.15,2.25,2.75,3.48,4.62,2.3,1.9,2.76,1.77,2.41,3.59,3.87,2.66,1.66,2.02,2.25
"s62","s62","male","africa","secure provenance",1,2.08,3.2,0,1.38,3.07,2.28,2.51,1.94,1.65,2.19,2.11,2.62,1.88,1.57,1.72,2.28,1.77,2.65,2.04,2.31,2.79,4.13,4.8,4.86,4.94,3.7,3.27,4.65,4.07,3.13,3.24,2.98,3.4,3.18,3.19,2.88,3.51,2.98,7.14,3.13,3.19,3.93,2.12,2.02,4.53,2.99,2.89,2.92,1.63,3.05,3.07,2.32,3.52,3.45,2.3,2.29,2.43,1.51,1.83,2.97,1.97,1.82,1.88,3.48,1.18,1.81,2.12,4.21,2.24,2.43
"s63","s63","male","africa","secure provenance",1,2.32,3.13,1.38,0,2.35,1.92,2.36,2.08,2.67,3.15,2.62,3.31,2.71,2.37,2.06,2.38,2.38,2.69,2.95,1.91,2.4,4.01,4.68,4.56,4.66,3.62,3.22,3.94,3.48,3.35,3.11,3.35,2.81,2.5,2.53,2.26,3.13,2.45,7.04,2.91,3.23,3.42,2.54,2.99,4.47,3.09,2.99,3.02,2.07,3.11,3.21,2.45,3.69,3.38,3.1,2.64,3.11,2.01,2.12,2.92,1.72,2.63,2.01,3.49,2.02,2.12,2.71,3.9,2.05,2.32
"s64","s64","male","africa","secure provenance",0,3.41,3.18,3.07,2.35,0,3.16,3.37,3.67,4.47,5.02,4.2,4.75,4.66,4.25,3.82,3.94,4.13,4.06,4.92,3.13,1.97,4.74,5.14,5.45,5.37,4.6,3.63,2.9,2.21,4.46,3.44,4.65,1.99,1.93,3.02,1.98,3.97,3.36,7.61,2.94,3.46,2.31,4.42,4.82,4.88,3.63,3.35,3.22,3.43,4.37,3.8,3.8,4.62,4.06,4.56,3.86,4.44,3.92,4.02,3.88,2.72,3.88,3.01,4.36,3.99,4.09,4.12,3.16,3.15,3.69
"s09","s09","female","asia","secure provenance",0,3.09,2.28,2.28,1.92,3.16,0,3.13,2.79,3.41,3.56,2.2,2.77,3.19,2.75,1.55,2.99,2.03,2.9,3.35,1.33,2.13,2.94,3.7,4.2,4.05,2.55,2.24,3.61,3.14,2.64,2.29,3.22,2.66,2.97,2.46,2.24,2.66,2.56,5.68,2.04,2.26,3.03,2.23,3.28,3.01,2.03,2.31,2.13,3.3,1.76,2.07,1.8,2.61,2.09,2.5,1.74,2.36,2.21,3.25,1.66,1.4,2.35,1.79,2.12,2.55,2.4,2.02,3.03,1.51,1.18
"s10","s10","female","asia","secure provenance",1,1.31,3.73,2.51,2.36,3.37,3.13,0,1.25,3.47,4.02,4.08,4.59,3.59,3.61,3.12,1.31,3.16,1.41,3.07,2.83,3.61,5.74,6.4,6.62,6.68,5.34,4.77,5.52,4.72,5.13,4.71,5.16,4.29,4.35,4.59,3.98,5.19,4.58,8.53,3.35,3.57,4.11,2.8,3.12,5.58,3.75,2.94,3.3,2.22,4.19,4.25,4.16,5.28,4.75,4.16,3.9,3.24,3.32,3.36,4.36,3.06,3.44,2.62,4.81,2.69,3.68,3.82,4.64,2.33,3.44
"s11","s11","male","asia","secure provenance",1,1.2,3.66,1.94,2.08,3.67,2.79,1.25,0,2.69,3.21,3.44,3.94,2.83,2.81,2.48,0.9,2.41,1.24,2.29,2.54,3.65,5.3,6.06,6.12,6.21,4.88,4.44,5.56,4.88,4.55,4.36,4.38,4.29,4.28,4.26,3.93,4.78,4.11,8.13,3.45,3.56,4.31,2.04,2.27,5.27,3.5,3.03,3.32,1.74,3.67,3.88,3.56,4.76,4.39,3.43,3.29,2.72,2.59,2.72,3.93,2.79,2.83,2.24,4.36,1.78,2.81,3.18,4.76,2.17,2.98
"np12","np12","unknown","africa","no provenance",2,1.84,4.15,3.5,3.38,3.68,4.15,1.54,2.29,4.48,5.15,5.24,5.68,4.74,4.7,4.29,2.38,4.2,2.27,4.13,3.78,4.17,6.71,7.43,7.75,7.77,6.4,5.61,6.06,5.14,6.15,5.42,6.11,4.85,5.01,5.46,4.71,6.26,5.52,9.5,3.82,4.03,4.31,3.92,4.15,6.32,4.35,3.41,3.84,3.02,5.16,4.93,5.16,6.28,5.62,5.13,4.8,4.11,4.47,4.46,5.3,3.98,4.28,3.32,5.71,3.75,4.8,4.77,4.95,3.22,4.41
"np13","np13","female","africa","no provenance",2,3.1,2.4,3.19,3.24,2.63,3.01,3.31,3.52,4.54,4.97,4.03,4.33,4.75,4.37,3.52,3.89,3.64,3.64,4.62,3.17,2.27,4.8,5.25,6.2,5.96,4.7,3.51,3.91,2.89,4.5,3.49,4.84,2.72,3.48,4.08,2.93,4.65,4.37,7.31,2.12,2.29,2.24,3.98,4.23,4.22,2.68,2.11,1.74,3.79,3.88,3.08,3.86,4.31,3.69,3.86,3.32,3.24,4,4.64,3.6,2.9,3.15,2.56,3.86,3.92,4.36,3.66,2.52,2.79,3.47
